flag,category,target,n_configs_on,perm_importance,effect_pct,ci_lo_pct,ci_hi_pct,significant
-O1,O,size,93,0.016176906587850887,4.057917444433912,-2.0405576252446322,10.386169481056617,False
-O2,O,size,87,0.00020510810785511792,11.741001256232542,4.785717867581907,19.03477052745066,True
-O3,O,size,75,0.0012393784215859254,6.312159357112113,-1.0807538298531427,14.333625563717245,False
-Os,O,size,87,0.046707514219189526,-18.761726119416455,-24.152536992823226,-13.181167039353436,True
-flto,flto,size,36,0.6940299451238797,-34.62264051014263,-36.834290016875336,-32.16915558641197,True
-flto=full,flto,size,39,0.7252140945999308,-32.96283514003792,-35.408756891873416,-30.352313288600563,True
-flto=thin,flto,size,25,0.28908955227524114,-22.073652064298866,-24.69025000996883,-19.337029292570595,True
-flto=auto,flto,size,33,0.6016660911010931,-31.536898629678454,-34.1980348459082,-28.761677668714203,True
-march=native,arch,size,66,0.0005621621584923305,3.6613824939923267,-3.307685491790402,11.533793848539764,False
-mtune=native,arch,size,80,-6.097244967243249e-06,0.04505476973424294,-7.094784163411494,7.550296961591818,False
-mprefer-vector-width=128,vec_width,size,39,-3.14879068623819e-06,1.4171940892445667,-7.047756813119809,10.480466917157806,False
-mprefer-vector-width=256,vec_width,size,39,-1.4718143979834212e-06,6.592814671469149,-2.8203678991568615,16.162031198239823,False
-mprefer-vector-width=none,vec_width,size,53,3.753628704129763e-05,-7.0785726776140585,-14.337707157707891,0.6949935136461471,False
-mrecip,recip,size,86,-1.8885167210636047e-05,-0.9576288321179183,-7.259430851219417,5.995702024091454,False
-mrecip=all,recip,size,58,-2.2570230344690264e-05,-0.07197373098362103,-7.542452332472582,7.672122006746829,False
"-malign-branch=fused,jcc",branch_align,size,77,-2.5483245870675887e-06,-0.447807375315612,-7.3120291933544745,6.688407677082897,False
-malign-branch-boundary=32,branch_align,size,57,-1.8803403530934422e-05,3.5932872758338785,-4.344367700225849,11.741835771471521,False
-finline-functions,inline,size,48,1.4899695053024091e-06,2.584704021030415,-5.750924133969804,11.788642511250625,False
-finline-hint-functions,inline,size,35,0.0010723999839791546,4.644016857870481,-4.746552833158302,14.496324381154512,False
-finline-max-stacksize=512,inline,size,34,2.4904735836730477e-05,-2.2429184714565342,-11.311385542749585,6.984019930698904,False
-fvectorize,vectorize,size,38,0.00010439712478668742,-2.5745036330126037,-11.380093079887443,7.091210966412809,False
-fslp-vectorize,vectorize,size,45,3.515590889124158e-06,-0.5939908091851964,-9.240093586344733,8.266850154628491,False
-fno-vectorize,vectorize,size,54,0.00018313093754659392,-6.152471138378046,-13.188465902693336,1.3583609281454523,False
-funroll-loops,unroll,size,63,6.38770602390304e-05,2.2266671147358474,-5.364365371368008,9.832199382541074,False
-fno-unroll-loops,unroll,size,79,0.0002376595134769229,0.7175019499179314,-6.208992651004475,7.808350943029807,False
-ffunction-sections,sections,size,37,-9.109270990039775e-06,-6.5100894566917695,-15.2420228600736,2.5500619103265842,False
-fdata-sections,sections,size,41,-5.25590285182842e-06,-2.3753101188527803,-11.142821227066857,7.144094479294716,False
-fmerge-all-constants,sections,size,60,5.983396517414234e-06,9.746701824791826,2.459482526078882,17.547744575603286,True
-funsafe-math-optimizations,fast_math,size,25,-1.0729070051344424e-06,-5.853885436482786,-16.87195623980572,5.642835255834688,False
-fapprox-func,fast_math,size,24,-3.989773011297734e-06,-3.4777843453853707,-14.768887603713921,8.62633413129994,False
-freciprocal-math,fast_math,size,18,-2.2750066852565237e-06,-2.455034836607628,-14.690093399684168,11.692588949190652,False
-fno-signed-zeros,fast_math,size,24,-0.0003187933091105218,-0.2905295537253494,-11.302342502650797,11.55425070046805,False
-ffp-contract=fast,fast_math,size,19,3.375223254982925e-07,-3.1123723565290473,-16.163929243044507,11.61780201327447,False
-ffp-contract=off,fast_math,size,23,-7.490117005367244e-08,-1.2910573225251798,-12.992710825275665,11.099303284909068,False
-fstrict-aliasing,strict,size,21,-1.2706693797333025e-05,2.1091246234995253,-9.47684420779723,13.728512835514195,False
-fno-strict-aliasing,strict,size,18,-1.9467679196521665e-05,-0.05225240295754219,-11.520668427500446,11.980573423079743,False
-fstrict-enums,strict,size,22,-6.4561915602763996e-06,-3.8391745238229302,-15.418340169050715,9.013494925246501,False
-fstrict-vtable-pointers,strict,size,17,-7.044245583398556e-07,-3.767482718111792,-16.521618509959378,10.143631518295383,False
-fno-delete-null-pointer-checks,strict,size,14,1.0691854707518544e-05,-12.291038245607266,-24.778085007456696,2.257983626036064,False
-fomit-frame-pointer,strict,size,28,1.4513335060355461e-05,3.2000451970931376,-6.893340802680692,14.260971527244305,False
-fno-omit-frame-pointer,strict,size,24,5.292305783432279e-05,-5.253911842985481,-16.64272433384266,7.7824527444571245,False
-fwhole-program-vtables,whole_prog,size,14,0.00011577481422769154,-27.082457016643822,-31.14718703520305,-22.820412809907776,True
-fvirtual-function-elimination,whole_prog,size,13,8.630420180268716e-05,-30.921961345543934,-34.447350224824625,-27.203056978247485,True
-funique-basic-block-section-names,whole_prog,size,46,9.631971962733576e-06,2.7144057987974257,-6.132071084130608,11.329806849818901,False
-fstack-protector,stack_prot,size,39,7.899112255037219e-06,5.418696881638851,-4.080918094624741,15.04487116986757,False
-fstack-protector-strong,stack_prot,size,38,5.4369210450122544e-06,0.8643401351059676,-7.887937555835556,10.500196160503418,False
-fstack-protector-all,stack_prot,size,34,0.0011666664657201816,4.106211587571762,-6.217631902565524,15.116470790855008,False
-fstack-clash-protection,stack_prot,size,38,-1.3648942417909812e-06,-4.654315239017482,-13.6866668891503,5.169677811008788,False
